material_id,band_gap,density,formation_energy
mp-1222305,0.0,4.043232033689111,-0.114944304583334
mp-1222484,0.0,4.105312326930998,-1.842054098271264
mp-1235571,0.0,1.622972751489696,-2.9396816958333343
mp-34993,4.772600000000001,3.412033572192316,-2.9941417804166672
mp-1232984,0.0,2.9023691329922023,-1.5111890288505752
mp-2764466,0.6557000000000001,6.014608246091189,-2.09160650595238
mp-753373,0.0,2.8549002875168332,-3.136435962222222
mp-1001079,1.9102000000000001,1.505294898696641,0.010535789666667001
mp-1045647,0.0,4.256823620470373,-1.1522163225641031
mp-1045572,0.0,4.450125383065336,-0.9500500710256411
mp-1080020,0.0,5.5448670739574375,-1.802815523333333
mp-1097885,2.0128,4.6776427564172245,-1.702223190833334
mp-1104112,0.0,3.633964049383972,-3.195662967857142
mp-1176521,0.00019999999999900002,3.35218185163503,-2.345197421666667
mp-1176693,3.6599,2.918787365895826,-2.809567616388888
mp-1176626,2.3937,2.7228171570707893,-2.8836102635440612
mp-1176695,3.3067,2.9430798175219453,-2.754882675555555
mp-1176629,0.929999999999999,2.8503997353131982,-2.882662168544061
mp-1180580,8.5965,2.3220130907973893,-2.517238061145833
mp-1191712,0.0,7.488327245583772,-0.177831459861111
mp-1211669,0.04889999999999901,0.542169851241159,-0.15259425717948802
mp-1210872,9.999999999976698e-05,9.421382618668018,-1.372915473333333
mp-1210897,0.0,3.774409276939128,-2.442680137948718
mp-1211074,0.0,8.9541647532132,-1.118641589166666
mp-1211133,0.0,7.397130742989147,-0.715929697777777
mp-1222527,0.36249999999999905,3.746115368013609,-2.392200972333332
mp-1222726,0.0,5.55561523042146,-1.018029940952378
mp-1223278,0.0,3.054524849483097,-1.678548019999992
mp-1222821,0.7590999999999991,4.50330384093367,-1.042379711333332
mp-1222978,0.0,4.376824561386939,-1.3366710733333331
mp-1235641,0.0,4.748706780425593,-2.218410687592592
mp-1236316,0.0,3.985212760982625,-1.8944917009259261
mp-1236616,0.0,4.945069051804441,-1.999561544259259
mp-1232998,0.403599999999999,3.542242463343356,-2.289074247948718
mp-1235362,0.0,3.65318924818844,-3.318574093589743
mp-1238813,0.0,3.655522764427295,-1.054460823333332
mp-1273834,0.577199999999999,4.503039347408426,-1.432982834761904
mp-1305141,0.9306000000000001,4.660387182447732,-1.252309118717948
mp-1273137,0.11680000000000001,4.6740562273199835,-2.286559315416667
mp-1281785,0.0,4.698044874251307,-1.474368565833332
mp-1282881,0.49249999999999905,4.402363254853799,-1.292840721025641
mp-1312332,0.39579999999999904,4.746798456532204,-1.941219261942529
mp-1287495,0.0,4.7640280448056895,-1.463322236458332
mp-1307826,0.0,4.443613621731471,-1.339025491833334
mp-1246778,0.0,4.05545900644064,0.19656346194444502
mp-1273274,0.1005,5.654714224240441,-1.354958501041666
mp-1274433,0.016599999999999,4.734439963579014,-2.284791241666667
mp-1285961,1.035799999999999,4.427739969899861,-1.349007260333333
mp-1309364,1.5428000000000002,4.625861493905391,-1.747525596388888
mp-25258,0.0,4.379066730631361,-1.442896367083332
mp-2710677,3.0939,2.558783525126379,-2.9705122079166673
mp-2710672,2.755,3.371201543771796,-3.1772099722222222
mp-27281,4.7458,1.577246558424793,-1.535539436180555
mp-2767497,0.0,5.055294747548595,-2.362258047083333
mp-2760269,0.0,5.9047903279885166,-1.387792960833334
mp-2913172,2.295099999999999,2.674047585224364,-3.176698910555556
mp-34650,0.0,4.642305957904246,-2.049080435890804
mp-3347048,5.1433,2.213162085820642,-2.023896498416667
mp-505717,0.48090000000000005,3.64373689323031,-2.411508844166667
mp-546920,2.2184,1.805970387784833,-1.351057391666667
